health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
15008,2000,residence,12982,191,322,396,9,14.7126790941303,24.8035741796333,30.5037744569404,69.32676012941
15008,2005,occurrence,14422,90,146,173,4,6.24046595479129,10.1234225488836,11.995562335321,27.7354042435169
15008,2005,residence,15113,163,273,321,5,10.7854165288163,18.0639184807781,21.2399920598161,33.0840997816449
15008,2010,occurrence,13743,101,130,161,6,7.34919595430401,9.45936112930219,11.7150549370589,43.6585898275486
15008,2010,residence,14696,182,250,301,8,12.3843222645618,17.0114316820904,20.4817637452368,54.4365813826892
15008,2015,occurrence,12367,64,87,103,4,5.17506266677448,7.03485081264656,8.32861647934018,32.3441416673405
15008,2015,residence,14110,134,185,215,7,9.49681077250177,13.1112686038271,15.2374202693125,49.6102055279943
15009,2000,occurrence,7997,86,169,203,8,10.7540327622859,21.1329248468176,25.384519194698,100.037514067775
15009,2000,residence,8065,88,178,217,7,10.9113453192808,22.0706757594544,26.906385616863,86.7947923124613
15009,2005,occurrence,9209,106,156,191,0,11.5104788793572,16.9399500488652,20.7405798675209,0
15009,2005,residence,9277,132,191,235,5,14.228737738493,20.5885523337286,25.3314649132263,53.8967338579282
15009,2010,occurrence,9313,96,121,142,5,10.3081713733491,12.9925910018254,15.2475034897455,53.6883925695265
15009,2010,residence,9633,108,144,172,10,11.2114606041732,14.9486141388975,17.8552891103498,103.809820409011
15009,2015,occurrence,8410,64,88,95,5,7.60998810939358,10.4637336504162,11.2960760998811,59.4530321046373
15009,2015,residence,8927,78,117,130,6,8.73753780665397,13.106306709981,14.56256301109,67.2118292819536
15010,2000,occurrence,4140,56,101,133,3,13.5265700483092,24.3961352657005,32.1256038647343,72.463768115942
15010,2000,residence,4011,56,100,131,3,13.9616055846422,24.931438544004,32.6601844926452,74.794315632012
15010,2005,occurrence,5434,62,110,135,2,11.4096429885904,20.2429149797571,24.8435774751564,36.8052999631947
15010,2005,residence,5373,62,112,136,2,11.5391773683231,20.8449655685837,25.3117439047087,37.2231528010422
